gene_0001	seripauperin PAU8
gene_3223	mitochondrial 54S ribosomal protein YmL49
gene_3224	mitogen-activated protein kinase kinase kinase BCK1
gene_3225	Kha1p
gene_3226	Tok1p
gene_3227	DNA helicase SRS2
gene_3228	glucosaminyl-phosphotidylinositol O-acyltransferase
gene_3229	protein kinase activating protein DPB11
gene_3230	Sip4p
gene_3231	ornithine carbamoyltransferase
gene_3232	tRNA ligase
gene_3233	GTP-Rho binding exocyst subunit EXO70
gene_3234	Aly2p
gene_3235	Tax4p
gene_3236	Iml2p
gene_3237	Arp4p
gene_3238	Scp160p
gene_3239	sterol-binding protein
gene_3240	Pry3p
gene_3241	hypothetical protein
gene_3242	Ics3p
gene_3243	hypothetical protein
gene_3244	Net1p
gene_3245	cohesin subunit SMC3
gene_3246	Jem1p
gene_3247	DNA replication protein PSF2
gene_3248	acetyl-CoA:L-glutamate N-acetyltransferase
gene_3249	metallo-dependent hydrolase superfamily protein
gene_3250	Utp18p
gene_3251	S-formylglutathione hydrolase
gene_3252	Mpm1p
gene_3253	Dls1p
gene_3254	mitochondrial 54S ribosomal protein YmL8
gene_3255	Coa3p
gene_3256	mannose-ethanolamine phosphotransferase LAS21
gene_3257	linker nucleoporin NUP82
gene_3258	kynurenine--oxoglutarate transaminase
gene_3259	amino acid transporter YHC3
gene_3260	Bit61p
gene_3261	protein kinase IKS1
gene_3262	Zap1p
gene_3263	hypothetical protein
gene_3264	Tim54p
gene_3265	retromer subunit PEP8
gene_3266	hypothetical protein
gene_3267	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH1
gene_3268	Irc8p
gene_3269	ATP-dependent RNA helicase MTR4
gene_3270	Chm7p
gene_3271	Ubx6p
gene_3272	hypothetical protein
gene_3274	cullin RTT101
gene_3275	putative lipoate--protein ligase
gene_3279	succinate dehydrogenase SDH1b
gene_3280	Gyp6p
gene_3281	hypothetical protein
gene_3282	Mhp1p
gene_3283	FG-nucleoporin NSP1
gene_3284	Nup192p
gene_3287	Loh1p
gene_3288	Irc18p
gene_3290	Snx4p
gene_3291	tRNA(adenine34) deaminase
gene_3292	Hsp70 family ATPase KAR2
gene_3293	RNA-dependent ATPase HCA4
gene_3294	Rab geranylgeranyltransferase BET4
gene_3295	spindle checkpoint protein MAD2
gene_3296	Vps53p
gene_3298	hypothetical protein
gene_3299	hypothetical protein
gene_3300	ribonucleotide-diphosphate reductase subunit RNR2
gene_3301	Rrn7p
gene_3302	Aps3p
gene_3304	Pet130p
gene_3305	Bbc1p
gene_3306	Mps3p
gene_3307	hypothetical protein
gene_3308	chaperonin-containing T-complex subunit CCT3
gene_3309	Mad3p
gene_3310	Vtc4p
gene_3311	DNA-directed RNA polymerase III subunit RPC17
gene_3314	RNA-binding RNA processing protein NOP9
gene_3315	chaperonin-containing T-complex subunit CCT8
gene_3316	hypothetical protein
gene_3318	Ctk2p
gene_3320	adenylate cyclase
gene_3321	Sys1p
gene_3322	Cox16p
gene_3323	dolichyl-diphosphooligosaccharide--protein glycotransferase subunit OST1
gene_3324	proteasome core particle subunit beta 1
gene_3325	Avt1p
gene_3326	rRNA-processing protein MPP10
gene_3327	Mrx12p
gene_3328	Sag1p
gene_3329	Apl1p
gene_3330	Lso1p
gene_3331	DNA-directed DNA polymerase delta subunit POL31
gene_3332	translation initiation factor eIF2 subunit alpha
gene_3333	Mho1p
gene_3334	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2
gene_3335	sulfate adenylyltransferase
gene_3336	signal peptidase complex subunit SPC1
gene_3337	hypothetical protein
gene_3338	hypothetical protein
gene_3339	glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I
gene_3340	Tma22p
gene_3341	hypothetical protein
gene_3342	dihydroxy-acid dehydratase ILV3
gene_3343	peptidylprolyl isomerase ESS1
gene_3344	Tes1p
gene_3345	Rec107p
gene_3346	U4/U6-U5 snRNP complex subunit LSM8
gene_3347	methylthioribulose 1-phosphate dehydratase MDE1
gene_3348	3-hydroxyanthranilate 3,4-dioxygenase
gene_3349	gag-pol fusion protein
gene_3350	gag protein
gene_3351	gag-pol fusion protein
gene_3352	gag protein
gene_3353	hypothetical protein
gene_3354	Arf family guanine nucleotide exchange factor GEA1
gene_3355	peptidylprolyl isomerase CPR7
gene_3356	Rav1p
gene_3357	Pet191p
gene_3358	DNA-dependent ATPase RAD26
gene_3359	putative E3 ubiquitin-protein ligase HUL4
gene_3360	hypothetical protein
gene_3361	Gef1p
gene_3362	Urb2p
gene_3363	Nup85p
gene_3364	DNA polymerase delta subunit POL32
gene_3366	Vps55p
gene_3367	Hsp70 family ATPase SSC1
gene_3368	Tah11p
gene_3370	translation elongation factor eIF-5A
gene_3371	cytochrome c isoform 1
gene_3372	NADH/NAD(+) kinase
gene_3373	Isy1p
gene_3374	fumarate reductase
gene_3376	UV-damaged DNA-binding protein RAD7
gene_3377	Bfa1p
gene_3378	Kch1p
gene_3380	Hit1p
gene_3382	hypothetical protein
gene_3384	bifunctional thymidylate/uridylate kinase
gene_3385	Aps2p
gene_3386	protein kinase PTK2
gene_3387	Cbf1p
gene_3388	hypothetical protein
gene_3389	amidase
gene_3390	DNA-directed RNA polymerase I core subunit RPA12
gene_3391	chaperonin-containing T-complex subunit CCT5
gene_3392	actin-related protein 3
gene_3393	phosphatidylinositol kinase-related protein kinase TOR1
gene_3394	Yae1p
gene_3395	replication factor C subunit 2
gene_3396	nucleoside triphosphate pyrophosphohydrolase HAM1
gene_3397	Lia1p
gene_3398	GTPase NPA3
gene_3399	bifunctional phosphatidyl-N-methylethanolamine N-methyltransferase/phosphatidyl-N-dimethylethanolamine N-methyltransferase
gene_3400	Ran GTPase-binding protein MOG1
gene_3401	alpha-1,6-mannosyltransferase
gene_3402	septin CDC11
gene_3403	Mir1p
gene_3404	dioxygenase BNA2
gene_3405	hypothetical protein
gene_3406	Aim24p
gene_3407	Eaf6p
gene_3408	Acf4p
gene_3409	hypothetical protein
gene_3410	hypothetical protein
gene_3411	Ste18p
gene_3412	Emc2p
gene_3413	Bir1p
gene_3414	SCF ubiquitin ligase complex subunit GRR1
gene_3415	Jsn1p
gene_3416	Bud4p
gene_3417	cleavage polyadenylation factor subunit FIP1
gene_3418	transcription factor IME1
gene_3420	ribosomal 60S subunit protein L43B
gene_3421	Sfc1p
gene_3422	aldo-keto reductase superfamily protein
gene_3423	Jjj3p
gene_3424	hypothetical protein
gene_3425	ubiquitin-specific protease YUH1
gene_3426	Aim25p
gene_3428	mitochondrial 37S ribosomal protein RSM26
gene_3429	ESCRT-II subunit protein VPS25
gene_3430	CTP synthase URA8
gene_3431	superoxide dismutase SOD1
gene_3432	adenosine kinase
gene_3433	Ecm27p
gene_3434	putative lipase
gene_3435	Abm1p
gene_3436	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2
gene_3437	phosphatidylinositol-3-phosphatase YMR1
gene_3438	Pxp2p
gene_3439	MIND complex subunit NNF1
gene_3440	hypothetical protein
gene_3441	mitochondrial 37S ribosomal protein RSM7
gene_3442	hypothetical protein
gene_3443	Tda4p
gene_3444	zinc metalloprotease
gene_3445	Ilm1p
gene_3446	histone demethylase
gene_3447	hypothetical protein
gene_3448	F1F0 ATP synthase subunit beta
gene_3449	Iba57p
gene_3450	ribosomal 40S subunit protein S5
gene_3451	hypothetical protein
gene_3452	Ent3p
gene_3453	putative zinc metalloprotease
gene_3454	Rsf2p
gene_3455	hypothetical protein
gene_3457	protein-lysine N-methyltransferase
gene_3458	cystathionine gamma-synthase
gene_3459	mannosyl-oligosaccharide 1,2-alpha-mannosidase
gene_3460	Nmd5p
gene_3461	xanthine phosphoribosyltransferase
gene_3462	Sgm1p
gene_3463	Mcm22p
gene_3464	protein transporter TIM8
gene_3465	Tti2p
gene_3466	sulfite reductase (NADPH) subunit beta
gene_3467	Iml1p
gene_3468	homoserine dehydrogenase
gene_3469	Hir3p
gene_3470	putative polyadenylation protein
gene_3471	hypothetical protein
gene_3472	dolichyl-phosphate-mannose-protein mannosyltransferase
gene_3473	Mgm101p
gene_3474	ribosomal 40S subunit protein S4A
gene_3475	hypothetical protein
gene_3476	Hms2p
gene_3477	branched-chain-amino-acid transaminase BAT2
gene_3478	putative nitronate monooxygenase
gene_3479	Dan1p
gene_3480	Dan4p
gene_3481	hypothetical protein
gene_3482	allantoate permease
gene_3483	Pgu1p
gene_3484	hypothetical protein
gene_3485	putative aryl-alcohol dehydrogenase
gene_3486	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase
gene_3487	hexose transporter HXT16
gene_3488	L-iditol 2-dehydrogenase SOR1
gene_3489	alpha-glucoside permease
gene_3490	Cos5p
gene_3491	seripauperin PAU16
gene_3492	hypothetical protein
gene_3493	Mch2p
gene_3494	ferric/cupric-chelate reductase
gene_3495	Cos9p
gene_3496	threo-3-hydroxy-L-aspartate ammonia-lyase SRY1
gene_3497	Jen1p
gene_3498	dihydroorotate dehydrogenase
gene_3499	5-oxoprolinase
gene_3500	Yra2p
gene_3501	Doa1p
gene_3502	phosphatidylinositol-3-phosphatase SAC1
gene_3503	bifunctional anthranilate synthase/indole-3-glycerol-phosphate synthase
gene_3505	E1 ubiquitin-activating protein UBA1
gene_3506	ATP-binding cassette a-factor transporter STE6
gene_3508	Cbt1p
gene_3509	Emc3p
gene_3510	Add66p
gene_3511	Ran GTPase-binding protein LOS1
gene_3512	Eap1p
gene_3513	phosphatidylinositol kinase-related protein kinase TOR2
gene_3514	Mnn4p
gene_3515	putative serine/threonine protein kinase PTK1
gene_3516	AAA family ATPase peroxin 1
gene_3518	palmitoyltransferase YKT6
gene_3519	Mia40p
gene_3520	threonine--tRNA ligase MST1
gene_3521	type 1 protein phosphatase-activating protein SDS22
gene_3522	acyl carrier protein
gene_3523	Dph2p
gene_3524	calcineurin regulatory subunit B
gene_3526	Hym1p
gene_3527	ATP-binding cassette long-chain fatty acid transporter PXA2
gene_3528	Fat3p
gene_3529	Mtr2p
gene_3530	DNA-binding transcription repressor ASH1
gene_3531	ornithine decarboxylase SPE1
gene_3532	hypothetical protein
gene_3533	Lot5p
gene_3534	tetrafunctional fatty acid synthase subunit FAS1
gene_3535	ribose phosphate diphosphokinase subunit PRS1
gene_3536	ribosomal 60S subunit protein L17A
gene_3537	Coy1p
gene_3538	Ste3p
gene_3539	Lst4p
gene_3540	Zn(2+) transporter ZRT3
gene_3541	Tpo5p
gene_3542	U5 snRNP GTPase SNU114
gene_3543	Ebp2p
gene_3544	protein kinase NNK1
gene_3545	mitochondrial 54S ribosomal protein YmL38/YmL34
gene_3546	putative serine/threonine protein kinase KKQ8
gene_3547	mitochondrial 54S ribosomal protein MRP49
gene_3548	cAMP-dependent protein kinase catalytic subunit TPK3
gene_3549	mannose-ethanolamine phosphotransferase MCD4
gene_3551	beta-1,3-glucan linked protein
gene_3552	beta-1,3-glucan linked protein
gene_3553	hypothetical protein
gene_3554	putative protein kinase KDX1
gene_3555	Elf1p
gene_3556	Rcn1p
gene_3557	metallo-aminopeptidase
gene_3558	ribosomal 40S subunit protein S27A
gene_3559	mitochondrial 37S ribosomal protein RSM22
gene_3560	Signal recognition particle receptor subunit beta
gene_3562	phosphoglycerate mutase GPM1
gene_3563	NADHX dehydratase
gene_3564	cytochrome-b5 reductase
gene_3565	RNA lariat debranching enzyme
gene_3566	succinate dehydrogenase flavoprotein subunit SDH1
gene_3567	Avt3p
gene_3568	proteasome regulatory particle base subunit RPT1
gene_3569	DNA-directed RNA polymerase III subunit RPC25
gene_3570	Ltv1p
gene_3571	Mrp8p
gene_3572	succinate dehydrogenase cytochrome b subunit SDH3
gene_3573	Tgl1p
gene_3574	cyclin-dependent serine/threonine protein kinase CTK1
gene_3575	Hsk3p
gene_3576	mitochondrial 54S ribosomal protein YmL31
gene_3577	Cmc1p
gene_3578	Apl2p
gene_3579	metalloendopeptidase
gene_3580	hypothetical protein
gene_3581	putative tetrahydrofolate synthase
gene_3582	She2p
gene_3583	myosin 3
gene_3584	putative phosphomutase
gene_3586	phosphoglucomutase PGM1
gene_3587	serine/threonine protein kinase YPK1
gene_3588	rDNA-binding RNA polymerase I transcriptional factor
gene_3589	Ssh4p
gene_3590	signal recognition particle subunit SRP21
gene_3591	Dgr2p
gene_3592	Oac1p
gene_3593	Vph2p
gene_3595	Hsp90 cochaperone SBA1
gene_3596	serine/threonine protein kinase PRR1
gene_3597	DNA-(apurinic or apyrimidinic site) lyase APN1
gene_3598	multifunctional nuclease RAD27
gene_3599	DNA-binding protein ABF1
gene_3600	Kti12p
gene_3601	transcription factor HAP4
gene_3602	Sld2p
gene_3603	putative short-chain dehydrogenase/reductase
gene_3604	hypothetical protein
gene_3605	aspartate transaminase AAT1
gene_3606	Seg2p
gene_3607	glutamine--fructose-6-phosphate transaminase (isomerizing) GFA1
gene_3608	metalloaminopeptidase APE1
gene_3609	hypothetical protein
gene_3610	protein kinase HSL1
gene_3611	aspartic endopeptidase
gene_3612	rRNA-processing protein UTP11
gene_3613	Mtc2p
gene_3614	hypothetical protein
gene_3615	hypothetical protein
gene_3616	Cwp2p
gene_3617	Cwp1p
gene_3618	mRNA splicing protein YJU2
gene_3619	acylglycerol lipase
gene_3620	Mbr1p
gene_3621	Bud2p
gene_3622	phosphatidylinositol/phosphatidylcholine-binding protein
gene_3623	Cue2p
gene_3624	Mif2p
gene_3625	phosphopantothenoylcysteine decarboxylase complex subunit CAB3
gene_3626	cytochrome c1 heme lyase CYT2
gene_3627	sulfiredoxin
gene_3628	malate dehydrogenase MDH1
gene_3629	Hot13p
gene_3630	ribosome biosynthesis protein RRP14
gene_3631	translation elongation factor EF1B gamma
gene_3633	H(+)-transporting V1 sector ATPase subunit C
gene_3634	Smy1p
gene_3635	RNA helicase
gene_3636	hypothetical protein
gene_3637	hypothetical protein
gene_3638	Mud2p
gene_3639	Hsp70 family chaperone LHS1
gene_3640	Stb6p
gene_3642	hypothetical protein
gene_3643	hypothetical protein
gene_3644	L-methionine (R)-S-oxide reductase
gene_3646	hypothetical protein
gene_3647	FG-nucleoporin NUP100
gene_3649	nucleoside diphosphate kinase
gene_3650	hypothetical protein
gene_3651	Yet1p
gene_3652	putative Mg(2+) transporter MNR2
gene_3653	hypothetical protein
gene_3654	stress-responsive transcriptional activator MSN4
gene_3655	Bli1p
gene_3656	fructose-bisphosphate aldolase FBA1
gene_3657	cleavage polyadenylation factor subunit MPE1
gene_3658	transcription initiation factor IIA subunit gamma
gene_3659	Nup120p
gene_3660	Tma19p
gene_3661	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
gene_3662	DNA damage-responsive RNA polymerase-degradation factor DEF1
gene_3663	Mdm35p
gene_3664	Ask1p
gene_3665	Sfk1p
gene_3666	hypothetical protein
gene_3667	centromeric DNA-binding histone H3-like protein CSE4
gene_3668	serine/threonine protein kinase ELM1
gene_3669	Anr2p
gene_3670	putative mannan endo-1,6-alpha-mannosidase
gene_3671	DNA primase subunit PRI2
gene_3672	Mmo1p
gene_3673	Phd1p
gene_3674	Spc42p
gene_3675	ESCRT-III subunit protein VPS24
gene_3676	Nfu1p
gene_3677	Ptm1p
gene_3679	Rgt1p
gene_3680	Aim26p
gene_3681	UTP glucose-1-phosphate uridylyltransferase
gene_3682	ubiquitin-protein ligase TUL1
gene_3683	putative hydrolase
gene_3684	Tti1p
gene_3686	DNA-binding transcription repressor IXR1
gene_3687	malate dehydrogenase (oxaloacetate-decarboxylating)
gene_3688	transcription factor TFIIE subunit TFA1
gene_3689	tRNA threonylcarbamoyladenosine dehydratase
gene_3690	glutathione peroxidase GPX1
gene_3691	Pan3p
gene_3692	bifunctional uridylate/adenylate kinase
gene_3693	hypothetical protein
gene_3694	hypothetical protein
gene_3695	anaphase promoting complex subunit CDC16
gene_3696	Mak11p
gene_3697	Spt23p
gene_3698	bifunctional protein farnesyltransferase/protein geranylgeranyltransferase
gene_3699	hypothetical protein
gene_3700	WD-repeat containing protein SWD2
gene_3701	ATP-dependent 5'-3' DNA helicase HCS1
gene_3702	F1F0 ATP synthase subunit d
gene_3703	Put3p
gene_3704	Urb1p
gene_3705	Arc19p
gene_3706	Prp40p
gene_3707	cruciform cutting endonuclease
gene_3708	putative ubiquitin-protein ligase UFD4
gene_3709	Mrt4p
gene_3710	sphingosine N-acyltransferase LAC1
gene_3711	Cap1p
gene_3712	Sft1p
gene_3714	ribosomal 60S subunit protein L14A
gene_3715	Bye1p
gene_3716	inositol phosphorylceramide synthase
gene_3717	mitochondrial 37S ribosomal protein YmS16
gene_3718	ESCRT-III subunit protein DID4
gene_3719	adenylyl-sulfate kinase
gene_3720	dynamin-like GTPase VPS1
gene_3721	polynucleotide adenylyltransferase PAP1
gene_3722	oxysterol-binding protein OSH6
gene_3723	Ecm9p
gene_3724	hypothetical protein
gene_3725	mitochondrial 54S ribosomal protein YmL13
gene_3726	Meh1p
gene_3727	Rsc4p
gene_3728	bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2
gene_3730	Tof2p
gene_3731	hypothetical protein
gene_3732	sterol-binding protein
gene_3733	Rab family GTPase YPT52
gene_3734	hypothetical protein
gene_3735	Mic60p
gene_3736	E3 ubiquitin-protein ligase HEL1
gene_3737	hypothetical protein
gene_3738	Irs4p
gene_3739	Vps51p
gene_3740	Aly1p
gene_3741	Ntr2p
gene_3742	hypothetical protein
gene_3743	putative ATP-dependent RNA helicase
gene_3744	DNA-directed RNA polymerase III subunit C37
gene_3745	translation initiation factor eIF2B subunit alpha
gene_3747	Bch2p
gene_3748	Sap190p
gene_3749	histone-binding protein SET3
gene_3750	Gmh1p
gene_3751	phospholipase D
gene_3752	hypothetical protein
gene_3753	Dal80p
gene_3754	Did2p
gene_3755	Caf4p
gene_3756	Spc34p
gene_3757	tRNA N6-adenosine threonylcarbamoyltransferase
gene_3759	amino acid permease GAP1
gene_3761	hypothetical protein
gene_3762	SUN family protein UTH1
gene_3763	sedoheptulose-bisphosphatase
gene_3764	Uip5p
gene_3765	hypothetical protein
gene_3766	Pet10p
gene_3767	histone chaperone NAP1
gene_3768	putative redox protein
gene_3769	Trk2p
gene_3770	hypothetical protein
gene_3771	Fe(2+) transporter
gene_3772	sphinganine kinase YSR3
gene_3773	dynein heavy chain
gene_3774	Rho family GTPase RHO4
gene_3775	Trm2p
gene_3776	ribosomal 40S subunit protein S21A
gene_3777	glycogenin glucosyltransferase GLG1
gene_3778	translation initiation factor eIF4A
gene_3779	Utp30p
gene_3780	mannosyltransferase KTR2
gene_3782	transcription factor TFIIE subunit TFA2
gene_3783	rRNA-processing protein LAS1
gene_3784	Oaf3p
gene_3785	Pam17p
gene_3786	cytochrome-c peroxidase
gene_3787	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2
gene_3788	TRAPP complex core subunit BET3
gene_3789	uroporphyrinogen-III C-methyltransferase
gene_3790	hypothetical protein
gene_3791	electron carrier DRE2
gene_3792	phosphopantothenoylcysteine decarboxylase complex subunit SIS2
gene_3793	hypothetical protein
gene_3795	Aim29p
gene_3796	hypothetical protein
gene_3797	S-glutathionyl-(chloro)hydroquinone reductase
gene_3798	Msa2p
gene_3799	hypothetical protein
gene_3800	tRNase Z
gene_3801	methylenetetrahydrofolate dehydrogenase (NAD(+))
gene_3802	rRNA-binding ribosome biosynthesis protein RPF2
gene_3803	Nup133p
gene_3804	Dad2p
gene_3805	ribosome dissociation factor GTPase HBS1
gene_3806	mitochondrial 54S ribosomal protein YmL20
gene_3807	DEAH-box RNA helicase PRP16
gene_3808	metalloendopeptidase
gene_3809	Tvp38p
gene_3810	Tgl4p
gene_3811	Pxl1p
gene_3812	DNA-binding protein SRL3
gene_3813	Srp40p
gene_3814	Ptr2p
gene_3815	ubiquitin-ribosomal 60S subunit protein L40B fusion protein
gene_3816	Mlp1p
gene_3817	chromatin DNA-binding EKC/KEOPS complex subunit PCC1
gene_3818	Esl2p
gene_3819	phosphoenolpyruvate carboxykinase PCK1
gene_3820	ubiquitin-specific protease UBP11
gene_3821	Bas1p
gene_3822	Skg1p
gene_3823	Sir1p
gene_3824	Flo10p
gene_3825	putative multidrug transporter NFT1
gene_3826	hypothetical protein
gene_3827	basic amino acid transporter
gene_3828	glutathione exchanger
gene_3829	Y' element ATP-dependent helicase
gene_3830	hypothetical protein
gene_3831	Y' element ATP-dependent helicase
gene_3832	seripauperin PAU18
gene_3833	acetyltransferase
gene_3834	S-adenosylmethionine-homocysteine S-methyltransferase MHT1
gene_3835	S-methylmethionine permease MMP1
gene_3836	glutathione transferase GTT2
gene_3837	cystathionine gamma-synthase
gene_3838	sulfonate dioxygenase
gene_3839	hypothetical protein
gene_3840	Yct1p
gene_3841	hypothetical protein
gene_3842	hypothetical protein
gene_3843	Aqy2p
gene_3844	putative ferric-chelate reductase
gene_3845	cofilin
gene_3846	Ldb18p
gene_3847	bile acid-transporting ATPase YBT1
gene_3848	Rnp1p
gene_3849	ribosomal 60S subunit protein L8B
gene_3850	Fps1p
gene_3851	E2-like conjugating enzyme
gene_3852	succinate dehydrogenase iron-sulfur protein subunit SDH2
gene_3853	membrane morphogenesis protein VPS13
gene_3854	ubiquitin
gene_3855	Ent4p
gene_3856	E3 ubiquitin-protein ligase PRP19
gene_3857	polynucleotide 5'-hydroxyl-kinase
gene_3858	putative AAA family ATPase RIX7
gene_3859	Irc19p
gene_3860	hypothetical protein
gene_3861	mannose-ethanolamine phosphotransferase GPI13
gene_3862	Rrt7p
gene_3863	Fra1p
gene_3864	Tpo1p
gene_3865	Fe-binding Fe/S cluster assembly protein ISA1
gene_3866	chaperone ATPase HSP104
gene_3868	seripauperin PAU17
gene_3869	Hsp70 family chaperone SSA2
gene_3870	nucleoporin POM33
gene_3871	Hif1p
gene_3872	Spa2p
gene_3873	serine/threonine protein kinase KNS1
gene_3874	Cox19p
gene_3875	aspartate--tRNA ligase DPS1
gene_3878	ATP-binding cassette bilirubin transporter BPT1
gene_3879	Emc6p
gene_3880	mRNA-binding protein PUF3
gene_3881	sterol esterase
gene_3882	rRNA-processing protein SOF1
gene_3883	phosphatase
gene_3884	copper metallochaperone COX17
gene_3885	putative ATP-dependent RNA helicase
gene_3886	Lmo1p
gene_3887	hypothetical protein
gene_3888	ERMES complex subunit MMM1
gene_3889	Spo75p
gene_3890	origin recognition complex subunit 3
gene_3891	Sfi1p
gene_3892	H3 histone acetyltransferase RTT109
gene_3893	dynamin-related GTPase DNM1
gene_3894	hypothetical protein
gene_3895	Noc3p
gene_3896	Cms1p
gene_3897	Thi73p
gene_3898	TFIIH/NER complex subunit SSL1
gene_3899	mitogen-activated protein kinase kinase kinase SSK1
gene_3900	Smc5-Smc6 complex subunit NSE1
gene_3901	Pam18p
gene_3902	ATPase-activating ribosome biosynthesis protein
gene_3903	Ten1p
gene_3905	flavin-dependent quinone reductase
gene_3906	hypothetical protein
gene_3907	Gat3p
gene_3908	Ppr1p
gene_3909	Bre2p
gene_3910	Pml1p
gene_3911	S-methyl-5-thioadenosine phosphorylase
gene_3912	Pom34p
gene_3913	putative phosphatase
gene_3914	sterol esterase
gene_3915	Irc25p
gene_3916	guanine nucleotide exchange factor SDO1
gene_3917	Izh3p
gene_3918	putative ubiquitin-protein ligase UBR2
gene_3919	ESCRT-III subunit protein SNF7
gene_3920	t-SNARE syntaxin
gene_3921	aspartate transaminase AAT2
gene_3923	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE16
gene_3924	ribosomal 60S subunit protein L15A
gene_3925	hypothetical protein
gene_3926	hypothetical protein
gene_3927	DNA helicase RAD5
gene_3928	Rsc58p
gene_3929	putative divalent metal ion transporter SMF3
gene_3930	mismatch repair protein MLH2
gene_3932	gag-pol fusion protein
gene_3933	hypothetical protein
gene_3934	seripauperin PAU23
gene_3935	cytochrome c oxidase subunit VIb
gene_3936	Ric1p
gene_3937	Afb1p
gene_3938	hypothetical protein
gene_3939	thioredoxin TRX1
gene_3940	indolepyruvate decarboxylase 1
gene_3941	Stu2p
gene_3942	hypothetical protein
gene_3943	putative ferric-chelate reductase
gene_3944	ribosomal 40S subunit protein S0B
gene_3945	hypothetical protein
gene_3946	hypothetical protein
gene_3947	Fcf2p
gene_3948	Ies3p
gene_3949	hypothetical protein
gene_3950	Osw2p
gene_3951	SAGA complex subunit SPT8
gene_3952	C-5 sterol desaturase
gene_3953	putative mannosidase MNL2
gene_3954	glycine hydroxymethyltransferase SHM2
gene_3955	Rex2p
gene_3956	phenylalanine--tRNA ligase subunit beta
gene_3957	ribosomal 60S subunit protein L22A
gene_3958	25S rRNA (uracil2843-N3)-methyltransferase
gene_3959	Per33p
gene_3960	Env10p
gene_3961	signal peptidase complex subunit SPC3
gene_3962	Pet309p
gene_3963	Fyv7p
gene_3964	Mef1p
gene_3965	D-xylulose reductase XYL2
gene_3966	Rgr1p
gene_3967	Lam6p
gene_3968	Rfu1p
gene_3969	Bud20p
gene_3970	ribosomal 60S subunit protein L10
gene_3971	Fmp25p
gene_3972	Bos1p
gene_3973	cyclin-dependent protein serine/threonine kinase inhibiting protein SIC1
gene_3974	Emp46p
gene_3975	galactose permease GAL2
gene_3976	Srl2p
gene_3977	Emp70p
gene_3978	Rax2p
gene_3979	Arp6p
gene_3980	condensin subunit SMC4
gene_3981	Csf1p
gene_3982	GPI-anchor transamidase subunit GAA1
gene_3983	alanine transaminase ALT1
gene_3984	Xdj1p
gene_3985	Gep5p
gene_3986	sulfate permease
gene_3987	Nyv1p
gene_3988	Gis3p
gene_3989	Ioc2p
gene_3990	serine/threonine protein kinase KIN2
gene_3991	SCF ubiquitin ligase complex subunit HRT3
gene_3992	Cha4p
gene_3993	lysophosphatidic acid acyltransferase ICT1
gene_3994	Mim2p
gene_3995	3-keto-steroid reductase
gene_3996	anaphase promoting complex subunit 9
gene_3997	DNA replication initiation factor CDC45
gene_3998	Lcl2p
gene_3999	tRNA splicing endonuclease subunit SEN2
gene_4001	AAA family ATPase midasin
gene_4002	RNA exonuclease
gene_4004	hypothetical protein
gene_4005	thioredoxin peroxidase AHP1
gene_4006	Ccw12p
gene_4007	hypothetical protein
gene_4008	hypothetical protein
gene_4009	mitogen-activated protein kinase HOG1
gene_4011	Avl9p
gene_4012	cleavage polyadenylation factor subunit CFT2
gene_4013	mRNA splicing protein MSL5
gene_4014	Clf1p
gene_4015	palmitoyl-(protein) hydrolase
gene_4016	ESCRT-I subunit protein SRN2
gene_4017	aspartyl protease
gene_4018	aspartyl protease
gene_4019	hypothetical protein
gene_4020	hypothetical protein
gene_4021	putative amidotransferase
gene_4022	anaphase promoting complex subunit 2
gene_4023	NEDD8 ligase DCN1
gene_4024	snoRNA-binding rRNA-processing protein DIP2
gene_4025	low-affinity Zn(2+) transporter ZRT2
gene_4026	DNA-binding transcription factor ACE2
gene_4027	phosphoric diester hydrolase
gene_4028	bifunctional choline kinase/ethanolamine kinase CKI1
gene_4029	indolepyruvate decarboxylase 5
gene_4030	Slx4p
gene_4031	Tis11p
gene_4032	S-adenosylmethionine-dependent methyltransferase
gene_4033	Nha1p
gene_4034	Sls1p
gene_4035	Rrn5p
gene_4036	proline dehydrogenase
gene_4038	diphthine--ammonia ligase
gene_4039	Acf2p
gene_4040	Rmp1p
gene_4041	spermine synthase
gene_4042	hypothetical protein
gene_4043	mRNA splicing protein SMD3
gene_4044	tethering complex subunit PEP3
gene_4045	hypothetical protein
gene_4046	Stm1p
gene_4047	8-oxo-dGTP diphosphatase
gene_4048	hypothetical protein
gene_4049	acetate--CoA ligase ACS2
gene_4050	Rnh203p
gene_4055	Tar1p
gene_4065	hypothetical protein
gene_4072	hypothetical protein
gene_4073	asparaginase ASP3-1
gene_4074	hypothetical protein
gene_4076	hypothetical protein
gene_4077	asparaginase ASP3-2
